day,hit_ratio,miss_ratio,out_ratio,usd_recon,usd_bill,usd_err,miss_pct_of_bill
2026-06-09,0.8722,0.9433,0.9807,12.4322,13.5202,0.9195,31.6
2026-06-10,0.9008,0.9687,0.9833,15.6049,16.4087,0.951,47.2
2026-06-11,0.9365,0.8662,0.9887,12.4261,13.5427,0.9175,43.3
2026-06-12,0.7822,0.9683,0.9838,17.2421,19.073,0.904,48.6
2026-06-13,0.9243,0.9784,0.985,15.4265,16.145,0.9555,32.4
2026-06-14,0.9293,0.8613,0.989,26.3318,28.8405,0.913,39.0
2026-06-15,0.8268,0.9597,0.9769,18.8695,20.8527,0.9049,42.2
2026-06-16,0.8517,0.8895,0.9897,15.488,17.1567,0.9027,50.8
2026-06-17,0.8643,0.91,0.9864,16.4393,18.0632,0.9101,36.1
2026-06-18,0.8855,0.9146,0.9842,7.8768,8.6055,0.9153,18.3
2026-06-19,0.8099,0.8929,0.9768,13.5657,15.4136,0.8801,32.8
2026-06-20,0.8518,0.836,0.9809,12.8598,14.4972,0.8871,28.8
2026-06-21,0.8215,0.877,0.9558,4.5137,5.1522,0.8761,27.3
2026-06-22,0.8279,0.8196,0.9766,7.2446,8.4358,0.8588,46.0
2026-06-23,0.8723,0.725,0.9152,19.6524,23.94,0.8209,41.8
2026-06-24,0.882,0.732,0.9349,9.8676,11.9393,0.8265,45.4
2026-06-25,0.8693,0.9666,0.9484,14.9628,16.1008,0.9293,44.8
2026-06-26,0.9025,0.9278,0.9822,9.9645,10.7015,0.9311,28.0
2026-06-27,0.918,0.9449,0.9578,13.6679,14.5799,0.9374,28.8
2026-06-28,0.9057,1.022,0.9957,23.1178,23.9324,0.966,32.9
